CO,NO2,O3,PM10,PM2.5,SO2,ISPU,ISPU_Kategori
0.05,14.5,8.63,16.63,11.8,38.61,38,Baik
0.05,10.15,7.85,18.45,13.34,39.7,43,Baik
0.04,9.69,7.75,18.63,13.22,39.39,43,Baik
0.03,9.64,7.75,17.41,13.58,38.92,44,Baik
0.05,9.68,7.76,28.3,21.73,39.08,58,Sedang
0.08,9.74,7.75,49.63,36.54,39.94,76,Sedang
0.03,9.68,7.75,31.48,24.94,38.89,62,Sedang
0.05,11.29,7.74,50.23,37.36,38.52,77,Sedang
0.05,10.71,7.74,41.88,33.15,38.11,72,Sedang
0.02,9.8,7.76,12.31,8.44,38.13,37,Baik
0.03,9.63,7.74,8.5,5.95,38.19,37,Baik
0.04,9.65,7.74,9.85,6.63,38.81,37,Baik
0.04,9.93,7.75,9.17,6.54,38.39,37,Baik
0.05,9.88,7.75,13.52,9.02,38.47,37,Baik
0.04,10.68,7.85,14.7,9.33,38.0,37,Baik
0.04,10.99,7.79,15.3,10.11,37.88,36,Baik
0.03,10.54,7.76,13.48,8.86,37.72,36,Baik
0.03,10.89,7.77,7.44,4.41,37.24,36,Baik
0.03,10.37,7.75,7.48,4.8,37.47,36,Baik
0.04,10.02,7.75,13.93,8.97,38.11,37,Baik
0.03,12.11,7.98,8.66,5.6,37.21,36,Baik
0.05,12.63,8.23,10.26,6.65,37.19,36,Baik
0.04,11.98,7.77,7.5,4.72,37.86,36,Baik
0.05,10.85,7.96,12.44,8.32,38.2,37,Baik
0.13,10.48,7.75,15.59,9.89,40.76,39,Baik
0.06,13.64,7.76,10.27,6.24,38.02,37,Baik
0.05,10.26,7.75,9.52,6.4,38.33,37,Baik
0.04,11.87,7.77,8.56,5.67,37.43,36,Baik
0.08,13.74,7.75,14.51,9.09,38.38,37,Baik
0.05,10.95,7.76,11.58,7.33,38.25,37,Baik
0.06,13.47,7.76,14.41,9.02,38.52,37,Baik
0.02,12.2,7.75,10.32,6.61,37.67,36,Baik
0.03,11.68,7.75,12.95,8.6,38.03,37,Baik
0.03,10.46,7.75,13.82,8.98,38.56,37,Baik
0.06,10.82,7.77,13.82,8.85,38.71,37,Baik
0.03,10.18,7.76,8.88,5.68,38.42,37,Baik
0.03,10.02,7.76,12.08,8.69,38.19,37,Baik
0.03,10.5,7.85,9.0,6.14,38.17,37,Baik
0.05,13.81,7.83,8.16,5.7,38.07,37,Baik
0.05,13.57,7.9,10.47,7.22,38.22,37,Baik
0.03,10.37,7.75,8.94,5.9,38.28,37,Baik
0.04,11.09,7.91,10.55,7.14,38.4,37,Baik
0.02,10.66,7.77,8.33,5.78,37.75,36,Baik
0.04,10.39,7.75,12.13,8.05,38.19,37,Baik
0.07,10.18,7.93,20.38,13.02,38.85,42,Baik
0.03,10.39,7.94,12.97,8.43,38.46,37,Baik
0.03,12.6,8.9,9.85,6.19,38.49,37,Baik
